ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
SafeThread-2, 4608, 0.09562400, 0.09562400, 0.09562400, 0.00668500, 0.09562400, 0.25613500, 0.25625400,0.31334600, 1461347112703
UnsafeThread-1, 6144, 0.00000000, 0.00000000, 0.00000000, 0.00706700, 0.00000000, 0.27898700, 0.27920600,0.33624000, 1461347127474
SafeThread-1, 4608, 0.09703600, 0.09703600, 0.09703600, 0.00721900, 0.09703600, 0.43708700, 0.43720300,0.49472300, 1461347148042
UnsafeThread-2, 6144, 0.00000000, 0.00000000, 0.00000000, 0.00691400, 0.00000000, 0.28169900, 0.28191200,0.33772400, 1461347165673
UnsafeThread-1, 6656, 0.00000000, 0.00000000, 0.00000000, 0.00737200, 0.00000000, 0.23381500, 0.23406200,0.29051800, 1461347418041
SafeThread-1, 5120, 0.09644800, 0.09644800, 0.09644800, 0.00690400, 0.09644800, 0.36691300, 0.36704700,0.42395300, 1461347572044
UnsafeThread-2, 6656, 0.00000000, 0.00000000, 0.00000000, 0.00692900, 0.00000000, 0.36359900, 0.36382200,0.41965100, 1461347585374
SafeThread-2, 5120, 0.09691000, 0.09691000, 0.09691000, 0.00685300, 0.09691000, 0.44191200, 0.44202700,0.49908600, 1461347611827
UnsafeThread-1, 7168, 0.00000000, 0.00000000, 0.00000000, 0.00682500, 0.00000000, 0.26020700, 0.26042300,0.31742900, 1461347735516
UnsafeThread-2, 7168, 0.00000000, 0.00000000, 0.00000000, 0.00696700, 0.00000000, 0.35093400, 0.35114100,0.40663800, 1461347992059
SafeThread-2, 5632, 0.09548500, 0.09548500, 0.09548500, 0.00719600, 0.09548500, 0.41583600, 0.41596200,0.47262200, 1461348084489
SafeThread-1, 5632, 0.09563800, 0.09563800, 0.09563800, 0.00658300, 0.09563800, 0.48507300, 0.48521200,0.54257600, 1461348114666
UnsafeThread-1, 7680, 0.00000000, 0.00000000, 0.00000000, 0.00688300, 0.00000000, 0.44029900, 0.44053400,0.49699600, 1461348232567
UnsafeThread-2, 7680, 0.00000000, 0.00000000, 0.00000000, 0.00721300, 0.00000000, 0.30817900, 0.30839700,0.36504100, 1461348357140
UnsafeThread-1, 8192, 0.00000000, 0.00000000, 0.00000000, 0.00718400, 0.00000000, 0.35935300, 0.36609100,0.42252200, 1461348655132
SafeThread-1, 6144, 0.09624400, 0.09624400, 0.09624400, 0.00768200, 0.09624400, 0.50083600, 0.50095800,0.55795300, 1461348672663
SafeThread-2, 6144, 0.09522500, 0.09522500, 0.09522500, 0.00678400, 0.09522500, 0.53213900, 0.53225600,0.58886000, 1461348673390
UnsafeThread-2, 8192, 0.00000000, 0.00000000, 0.00000000, 0.00708200, 0.00000000, 0.33410300, 0.34103000,0.39740000, 1461348754589
UnsafeThread-1, 8704, 0.00000000, 0.00000000, 0.00000000, 0.00726400, 0.00000000, 0.41054100, 0.41703400,0.47220400, 1461349127396
SafeThread-1, 6656, 0.09564700, 0.09564700, 0.09564700, 0.00701400, 0.09564700, 0.44448600, 0.44463100,0.50170100, 1461349174419
UnsafeThread-2, 8704, 0.00000000, 0.00000000, 0.00000000, 0.00690100, 0.00000000, 0.38334100, 0.39006400,0.44635500, 1461349201006
SafeThread-2, 6656, 0.09665500, 0.09665500, 0.09665500, 0.00716700, 0.09665500, 0.54470100, 0.54482100,0.60245000, 1461349275896
UnsafeThread-1, 9216, 0.00000000, 0.00000000, 0.00000000, 0.00682000, 0.00000000, 0.43451800, 0.44140700,0.49869100, 1461349626126
UnsafeThread-2, 9216, 0.00000000, 0.00000000, 0.00000000, 0.00765800, 0.00000000, 0.45484200, 0.46161800,0.51815100, 1461349719198
SafeThread-1, 7168, 0.09668000, 0.09668000, 0.09668000, 0.00706700, 0.09668000, 0.53813400, 0.53828200,0.59584100, 1461349770310
SafeThread-2, 7168, 0.09512000, 0.09512000, 0.09512000, 0.00696500, 0.09512000, 0.50534800, 0.50546200,0.56215400, 1461349838093
UnsafeThread-1, 9728, 0.00000000, 0.00000000, 0.00000000, 0.00714000, 0.00000000, 0.40267500, 0.40919700,0.46536800, 1461350091553
UnsafeThread-2, 9728, 0.00000000, 0.00000000, 0.00000000, 0.00731800, 0.00000000, 0.38848400, 0.39523600,0.45147600, 1461350170716
SafeThread-1, 7680, 0.09564200, 0.09564200, 0.09564200, 0.00720200, 0.09564200, 0.52524000, 0.52537600,0.58255600, 1461350352923
SafeThread-2, 7680, 0.09500700, 0.09500700, 0.09500700, 0.00737600, 0.09500700, 0.62528100, 0.62540200,0.68171800, 1461350519878
UnsafeThread-1, 10240, 0.00000000, 0.00000000, 0.00000000, 0.00728400, 0.00000000, 0.45900300, 0.46582800,0.52214700, 1461350613753
UnsafeThread-2, 10240, 0.00000000, 0.00000000, 0.00000000, 0.00755000, 0.00000000, 0.50063100, 0.50749000,0.56333300, 1461350734099
SafeThread-1, 8192, 0.09716900, 0.09716900, 0.09716900, 0.00740000, 0.09716900, 0.50350200, 0.51089300,0.56869300, 1461350921672
SafeThread-2, 8192, 0.09406800, 0.09406800, 0.09406800, 0.00680900, 0.09406800, 0.60564000, 0.61297400,0.66976900, 1461351189689
UnsafeThread-1, 10752, 0.00000000, 0.00000000, 0.00000000, 0.00746700, 0.00000000, 0.53884700, 0.54594100,0.60269800, 1461351216493
UnsafeThread-2, 10752, 0.00000000, 0.00000000, 0.00000000, 0.00713300, 0.00000000, 0.48081400, 0.48750600,0.54412500, 1461351278264
SafeThread-2, 8704, 0.09550600, 0.09550600, 0.09550600, 0.00695600, 0.09550600, 0.35919600, 0.36618500,0.42340300, 1461351613138
SafeThread-1, 8704, 0.09443700, 0.09443700, 0.09443700, 0.00677000, 0.09443700, 0.70723500, 0.71413300,0.77127800, 1461351692990
UnsafeThread-2, 11264, 0.00000000, 0.00000000, 0.00000000, 0.00695900, 0.00000000, 0.43220000, 0.43903800,0.49595400, 1461351774263
UnsafeThread-1, 11264, 0.00000000, 0.00000000, 0.00000000, 0.00702700, 0.00000000, 0.53208200, 0.53887900,0.59542800, 1461351811953
SafeThread-2, 9216, 0.09706200, 0.09706200, 0.09706200, 0.00733000, 0.09706200, 0.44286100, 0.44989600,0.50772600, 1461352120913
UnsafeThread-1, 11776, 0.00000000, 0.00000000, 0.00000000, 0.00716000, 0.00000000, 0.32417600, 0.33098200,0.38720000, 1461352199199
SafeThread-1, 9216, 0.09636800, 0.09636800, 0.09636800, 0.00716600, 0.09636800, 0.46101300, 0.46815900,0.52603200, 1461352219069
UnsafeThread-2, 11776, 0.00000000, 0.00000000, 0.00000000, 0.00729600, 0.00000000, 0.49537200, 0.50223300,0.55934300, 1461352333637
