ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total, t_OveralTotal, t_Timestamp
UnsafeThread-2, 800000, 0.00000000, 0.00000000, 0.00000000, 0.00526300, 0.00000000, 0.26570900, 0.27248900,0.30800800, 1462371659045
UnsafeThread-2, 801024, 0.00000000, 0.00000000, 0.00000000, 0.00507400, 0.00000000, 0.27316000, 0.28064000,0.62587500, 1462371976971
UnsafeThread-2, 802048, 0.00000000, 0.00000000, 0.00000000, 0.00532800, 0.00000000, 0.26955800, 0.27647900,0.93934400, 1462372290500
UnsafeThread-2, 803072, 0.00000000, 0.00000000, 0.00000000, 0.00550600, 0.00000000, 0.27986300, 0.28695500,1.26336800, 1462372614568
UnsafeThread-2, 804096, 0.00000000, 0.00000000, 0.00000000, 0.00517400, 0.00000000, 0.25088600, 0.25790000,1.55824400, 1462372909489
UnsafeThread-2, 805120, 0.00000000, 0.00000000, 0.00000000, 0.00547200, 0.00000000, 0.25203600, 0.25916000,1.85443200, 1462373205727
UnsafeThread-2, 806144, 0.00000000, 0.00000000, 0.00000000, 0.00516700, 0.00000000, 0.24575200, 0.25277800,2.14433400, 1462373495673
UnsafeThread-2, 807168, 0.00000000, 0.00000000, 0.00000000, 0.00539400, 0.00000000, 0.25319500, 0.26048700,2.44239500, 1462373793786
UnsafeThread-2, 808192, 0.00000000, 0.00000000, 0.00000000, 0.00527400, 0.00000000, 0.27221300, 0.27919100,2.75888800, 1462374110326
UnsafeThread-2, 809216, 0.00000000, 0.00000000, 0.00000000, 0.00530800, 0.00000000, 0.28650200, 0.29348200,3.08966600, 1462374441151
UnsafeThread-2, 810240, 0.00000000, 0.00000000, 0.00000000, 0.00531300, 0.00000000, 0.32523900, 0.33233900,3.45966900, 1462374811207
UnsafeThread-2, 811264, 0.00000000, 0.00000000, 0.00000000, 0.00536800, 0.00000000, 0.25654700, 0.26361200,3.76044500, 1462375112032
UnsafeThread-2, 812288, 0.00000000, 0.00000000, 0.00000000, 0.00540300, 0.00000000, 0.21969500, 0.22668500,4.02434500, 1462375375983
UnsafeThread-2, 813312, 0.00000000, 0.00000000, 0.00000000, 0.00516200, 0.00000000, 0.31791200, 0.32485800,4.38650500, 1462375738207
UnsafeThread-2, 814336, 0.00000000, 0.00000000, 0.00000000, 0.00517400, 0.00000000, 0.29637200, 0.30349300,4.72754200, 1462376079287
UnsafeThread-2, 815360, 0.00000000, 0.00000000, 0.00000000, 0.00512800, 0.00000000, 0.26390200, 0.27080200,5.03532000, 1462376387121
UnsafeThread-2, 816384, 0.00000000, 0.00000000, 0.00000000, 0.00522900, 0.00000000, 0.26330400, 0.27038500,5.34286200, 1462376694711
UnsafeThread-2, 817408, 0.00000000, 0.00000000, 0.00000000, 0.00535800, 0.00000000, 0.24095200, 0.24804000,5.62794600, 1462376979842
UnsafeThread-2, 818432, 0.00000000, 0.00000000, 0.00000000, 0.00534700, 0.00000000, 0.20364200, 0.21064400,5.87574300, 1462377227697
UnsafeThread-2, 819456, 0.00000000, 0.00000000, 0.00000000, 0.00517800, 0.00000000, 0.29489800, 0.30203600,6.21462700, 1462377566621
UnsafeThread-2, 820480, 0.00000000, 0.00000000, 0.00000000, 0.00542800, 0.00000000, 0.28482700, 0.29182700,6.54355000, 1462377895586
UnsafeThread-2, 821504, 0.00000000, 0.00000000, 0.00000000, 0.00537300, 0.00000000, 0.20384600, 0.21093700,6.79195500, 1462378144035
UnsafeThread-2, 822528, 0.00000000, 0.00000000, 0.00000000, 0.00534900, 0.00000000, 0.31197100, 0.31897100,7.14803200, 1462378500154
UnsafeThread-2, 823552, 0.00000000, 0.00000000, 0.00000000, 0.00537500, 0.00000000, 0.28804300, 0.29515500,7.47993900, 1462378832097
UnsafeThread-2, 824576, 0.00000000, 0.00000000, 0.00000000, 0.00531600, 0.00000000, 0.24230100, 0.24944000,7.76670300, 1462379118910
UnsafeThread-2, 825600, 0.00000000, 0.00000000, 0.00000000, 0.00532400, 0.00000000, 0.31337900, 0.32040300,8.12396100, 1462379476222
UnsafeThread-2, 826624, 0.00000000, 0.00000000, 0.00000000, 0.00531500, 0.00000000, 0.30492500, 0.31205800,8.47310700, 1462379825440
UnsafeThread-2, 827648, 0.00000000, 0.00000000, 0.00000000, 0.00531300, 0.00000000, 0.15914500, 0.16619500,8.67634300, 1462380028725
UnsafeThread-2, 828672, 0.00000000, 0.00000000, 0.00000000, 0.00519700, 0.00000000, 0.25775700, 0.26505000,8.97850300, 1462380330935
UnsafeThread-2, 829696, 0.00000000, 0.00000000, 0.00000000, 0.00519300, 0.00000000, 0.30595000, 0.31302000,9.32842400, 1462380680904
