ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total, t_OveralTotal, t_Timestamp
UnsafeThread-1, 800000, 0.00000000, 0.00000000, 0.00000000, 0.00540500, 0.00000000, 0.27661400, 0.28352100,0.31887500, 1462371669926
UnsafeThread-1, 801024, 0.00000000, 0.00000000, 0.00000000, 0.00533900, 0.00000000, 0.23682600, 0.24422400,0.60020600, 1462371951310
UnsafeThread-1, 802048, 0.00000000, 0.00000000, 0.00000000, 0.00508500, 0.00000000, 0.24692400, 0.25370400,0.89074400, 1462372241900
UnsafeThread-1, 803072, 0.00000000, 0.00000000, 0.00000000, 0.00510600, 0.00000000, 0.22789800, 0.23503800,1.16260400, 1462372513808
UnsafeThread-1, 804096, 0.00000000, 0.00000000, 0.00000000, 0.00530200, 0.00000000, 0.30303000, 0.30982300,1.50950600, 1462372860763
UnsafeThread-1, 805120, 0.00000000, 0.00000000, 0.00000000, 0.00507300, 0.00000000, 0.28968900, 0.29656100,1.84306700, 1462373194374
UnsafeThread-1, 806144, 0.00000000, 0.00000000, 0.00000000, 0.00526500, 0.00000000, 0.25315000, 0.26016000,2.14030000, 1462373491645
UnsafeThread-1, 807168, 0.00000000, 0.00000000, 0.00000000, 0.00537700, 0.00000000, 0.25322400, 0.26037300,2.43846700, 1462373789850
UnsafeThread-1, 808192, 0.00000000, 0.00000000, 0.00000000, 0.00518800, 0.00000000, 0.25690300, 0.26393700,2.73956300, 1462374090999
UnsafeThread-1, 809216, 0.00000000, 0.00000000, 0.00000000, 0.00534800, 0.00000000, 0.32275400, 0.32991200,3.10689800, 1462374458383
UnsafeThread-1, 810240, 0.00000000, 0.00000000, 0.00000000, 0.00524600, 0.00000000, 0.20944300, 0.21652100,3.36085100, 1462374712399
UnsafeThread-1, 811264, 0.00000000, 0.00000000, 0.00000000, 0.00520900, 0.00000000, 0.28644600, 0.29350000,3.69158900, 1462375043186
UnsafeThread-1, 812288, 0.00000000, 0.00000000, 0.00000000, 0.00521200, 0.00000000, 0.27512800, 0.28209600,4.01125400, 1462375362902
UnsafeThread-1, 813312, 0.00000000, 0.00000000, 0.00000000, 0.00524100, 0.00000000, 0.27918300, 0.28612700,4.33452800, 1462375686240
UnsafeThread-1, 814336, 0.00000000, 0.00000000, 0.00000000, 0.00531000, 0.00000000, 0.23480800, 0.24196200,4.61362100, 1462375965379
UnsafeThread-1, 815360, 0.00000000, 0.00000000, 0.00000000, 0.00543500, 0.00000000, 0.28765900, 0.29472800,4.94553600, 1462376297343
UnsafeThread-1, 816384, 0.00000000, 0.00000000, 0.00000000, 0.00533200, 0.00000000, 0.31002800, 0.31699800,5.29977300, 1462376651623
UnsafeThread-1, 817408, 0.00000000, 0.00000000, 0.00000000, 0.00528000, 0.00000000, 0.29387600, 0.30108300,5.63810400, 1462376990000
UnsafeThread-1, 818432, 0.00000000, 0.00000000, 0.00000000, 0.00523000, 0.00000000, 0.24203300, 0.24917000,5.92450600, 1462377276451
UnsafeThread-1, 819456, 0.00000000, 0.00000000, 0.00000000, 0.00528700, 0.00000000, 0.26430700, 0.27115800,6.23233000, 1462377584326
UnsafeThread-1, 820480, 0.00000000, 0.00000000, 0.00000000, 0.00518100, 0.00000000, 0.25327400, 0.26012900,6.52932900, 1462377881385
